"unigram","Frequency"
"aaa",14
"aaaaaaaaaaaaaahhhhhhhhhhhhhh",1
"aaaaaaaaaasdlghlkuh",1
"aaaaaaaahhhh",1
"aaaaaaah",1
"aaaaagggghhhh",1
"aaaaahh",1
"aaaaahhh",1
"aaaaand",2
"aaaaandeago",1
"aaaaargh",1
"aaaaawesome",1
"aaaagggghhhh",1
"aaaaggghhhh",1
"aaaah",1
"aaaahhh",1
"aaaahhhh",2
"aaahhhlife",1
"aaargh",1
"aaarrgh",1
"aaas",1
"aaawww",1
"aaawwww",1
"aac",2
"aactecom",1
"aacu",1
"aadhaar",1
"aadhar",1
"aaduna",1
"aaf",1
"aaggh",1
"aah",3
"aahh",1
"aahhh",1
"aahhhhh",1
"aahsorg",1
"aaight",1
"aaitui",1
"aaja",1
"aakhu",1
"aaliyah",6
"aall",1
"aallllllll",1
"aalternative",1
"aam",7
"aamcs",1
"aamir",2
"aamkt",1
"aanp",2
"aaos",1
"aaosborn",1
"aap",2
"aapl",4
"aaplus",1
"aapple",1
"aar",1
"aardman",2
"aardmans",2
"aardsma",1
"aargh",1
"aarhus",1
"aaron",57
"aarones",1
"aaronhalloffamer",1
"aaronrodgers",2
"aarons",1
"aarp",11
"aarpceltics",1
"aarpdiscount",1
"aarrgghhh",1
"aaru",1
"aashrm",1
"aasl",1
"aau",8
"aauw",1
"aavg",1
"aaw",1
"aba",3
"aback",3
"abadesco",1
"abadia",1
"abagail",1
"abagnale",1
"abair",1
"aball",1
"abalone",4
"abalonetti",2
"abandon",22
"abandoned",71
"abandoning",8
"abandonment",12
"abang",1
"abaorbeisnheksiendujs",1
"abarth",1
"abate",1
"abatement",2
"abatements",1
"abates",1
"abating",1
"abba",9
"abbaes",2
"abbas",3
"abbate",1
"abbess",1
"abbey",17
"abbeys",2
"abbhors",1
"abbi",1
"abbie",4
"abbotabad",1
"abbotsford",1
"abbott",10
"abbottabad",2
"abbotts",2
"abboud",1
"abbreviated",2
"abbreviation",2
"abby",17
"abbyes",1
"abbys",1
"abc",51
"abcdesignteamaolcom",1
"abcdisney",1
"abces",3
"abcmember",1
"abcs",13
"abcwashington",1
"abdc",9
"abdellah",1
"abdelmaged",1
"abdi",1
"abdicates",1
"abdirahman",1
"abdomen",9
"abdominal",4
"abdominals",1
"abduct",1
"abducted",3
"abducting",1
"abduction",7
"abductor",2
"abdul",7
"abdulaziz",1
"abdulbahcas",1
"abduljabbar",2
"abdullah",8
"abdullahs",1
"abdulmutallab",1
"abdulmutallabcs",1
"abdulrahman",1
"abduls",1
"abdulsattar",1
"abdurraheem",1
"abe",4
"abeba",1
"abebooks",1
"abed",2
"abeel",1
"abel",3
"abelard",1
"abelardo",1
"abele",2
"abella",1
"abend",1
"abenhaim",1
"abercrombie",5
"aberdeen",7
"aberdeenshire",1
"aberg",1
"aberlour",1
"abernathy",2
"aberrant",1
"aberration",1
"abes",1
"abesence",1
"abestfriend",1
"abetted",2
"abetting",1
"abeyance",1
"abeynayake",1
"abf",1
"abfocused",1
"abhey",1
"abhi",1
"abhimanyu",1
"abhoping",1
"abhorrent",2
"abi",4
"abide",12
"abided",2
"abides",3
"abidine",1
"abiding",5
"abigael",2
"abigail",1
"abilene",1
"abilities",33
"abilitiesjk",1
"ability",221
"abilityed",1
"abin",1
"abinbev",1
"abingdon",5
"abington",1
"abismal",1
"abita",2
"abitaright",1
"abj",1
"abject",4
"ablaze",3
"ablazeed",1
"able",855
"ablebodied",2
