"elementId","contextId","unitId","fact","decimals","factId","ns","roles","scheme","identifier","startDate","endDate","dimension1","value1","dimension2","value2","dimension3","value3","dimension4","value4"
"us-gaap_DefinedBenefitPlanPlanAmendments","D2013_PensionPlansDefinedBenefitMember","USD","-506000000","-6","Tag1","http://fasb.org/us-gaap/2013-01-31","DisclosureBenefitPlansDetails","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:DefinedBenefitPlansDisclosuresDefinedBenefitPlansAxis","us-gaap:PensionPlansDefinedBenefitMember",NA,NA,NA,NA,NA,NA
"all_DefinedBenefitPlanPercentageOfTotalPlanAssetsForEmployeeAgents","I2013_PensionPlansDefinedBenefitMember","Pure","0.14","2","Tag2","http://www.allstate.com/20131231","DisclosureBenefitPlansDetails2","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:DefinedBenefitPlansDisclosuresDefinedBenefitPlansAxis","us-gaap:PensionPlansDefinedBenefitMember",NA,NA,NA,NA,NA,NA
"all_DefinedBenefitPlanPercentageOfTotalPlanAssetsForPrimaryEmployee","I2013_PensionPlansDefinedBenefitMember","Pure","0.79","2","Tag3","http://www.allstate.com/20131231","DisclosureBenefitPlansDetails2","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:DefinedBenefitPlansDisclosuresDefinedBenefitPlansAxis","us-gaap:PensionPlansDefinedBenefitMember",NA,NA,NA,NA,NA,NA
"all_DefinedBenefitPlanAssetAllocationDerivativesMaximum","D2013_PensionPlansDefinedBenefitMember_MaximumMember","Pure","1.15","2","Tag4","http://www.allstate.com/20131231","DisclosureBenefitPlansDetails2","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:DefinedBenefitPlansDisclosuresDefinedBenefitPlansAxis","us-gaap:PensionPlansDefinedBenefitMember","us-gaap:RangeAxis","us-gaap:MaximumMember",NA,NA,NA,NA
"all_BusinessAcquisitionPurchasePriceAllocationValueOfBusinessAcquired","I2011Q4_M1007_WhiteMountainsHoldingsMember","USD","42000000","-6","Tag5","http://www.allstate.com/20131231","DisclosureAcquisitionDetails","http://www.sec.gov/CIK","0000899051",NA,"2011-10-07","us-gaap:BusinessAcquisitionAxis","all:WhiteMountainsHoldingsMember",NA,NA,NA,NA,NA,NA
"us-gaap_Goodwill","I2011Q4_M1007_WhiteMountainsHoldingsMember","USD","368000000","-6","Tag6","http://fasb.org/us-gaap/2013-01-31","DisclosureAcquisitionDetails,DisclosureSummaryOfSignificantAccountingPoliciesDetails3,BalanceSheet","http://www.sec.gov/CIK","0000899051",NA,"2011-10-07","us-gaap:BusinessAcquisitionAxis","all:WhiteMountainsHoldingsMember",NA,NA,NA,NA,NA,NA
"all_BusinessAcquisitionPurchasePriceAllocationOtherIntangibleAssets","I2011Q4_M1007_WhiteMountainsHoldingsMember","USD","426000000","-6","Tag7","http://www.allstate.com/20131231","DisclosureAcquisitionDetails","http://www.sec.gov/CIK","0000899051",NA,"2011-10-07","us-gaap:BusinessAcquisitionAxis","all:WhiteMountainsHoldingsMember",NA,NA,NA,NA,NA,NA
"all_BusinessAcquisitionPurchasePriceAllocationReserveForPropertyLiabilityClaimsAndClaimsExpense","I2011Q4_M1007_WhiteMountainsHoldingsMember","USD","487000000","-6","Tag8","http://www.allstate.com/20131231","DisclosureAcquisitionDetails","http://www.sec.gov/CIK","0000899051",NA,"2011-10-07","us-gaap:BusinessAcquisitionAxis","all:WhiteMountainsHoldingsMember",NA,NA,NA,NA,NA,NA
"all_BusinessAcquisitionPurchasePriceAllocationUnearnedPremiums","I2011Q4_M1007_WhiteMountainsHoldingsMember","USD","229000000","-6","Tag9","http://www.allstate.com/20131231","DisclosureAcquisitionDetails","http://www.sec.gov/CIK","0000899051",NA,"2011-10-07","us-gaap:BusinessAcquisitionAxis","all:WhiteMountainsHoldingsMember",NA,NA,NA,NA,NA,NA
"us-gaap_LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsPriorYears","D2013_ReserveAdjustmentsMember_DiscontinuedLinesAndCoveragesProductLineMember","USD","142000000","-6","Tag10","http://fasb.org/us-gaap/2013-01-31","DisclosureReserveForPropertyLiabilityInsuranceClaimsAndClaimsExpenseDetails,DisclosureReserveForPropertyLiabilityInsuranceClaimsAndClaimsExpenseDetails2","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:CausesOfIncreaseDecreaseInLiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseAxis","all:ReserveAdjustmentsMember","us-gaap:ReinsurancePremiumsForInsuranceCompaniesByProductSegmentAxis","all:DiscontinuedLinesAndCoveragesProductLineMember",NA,NA,NA,NA
"us-gaap_LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsPriorYears","D2012_ReserveAdjustmentsMember_DiscontinuedLinesAndCoveragesProductLineMember","USD","51000000","-6","Tag11","http://fasb.org/us-gaap/2013-01-31","DisclosureReserveForPropertyLiabilityInsuranceClaimsAndClaimsExpenseDetails,DisclosureReserveForPropertyLiabilityInsuranceClaimsAndClaimsExpenseDetails2","http://www.sec.gov/CIK","0000899051","2012-01-01","2012-12-31","us-gaap:CausesOfIncreaseDecreaseInLiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseAxis","all:ReserveAdjustmentsMember","us-gaap:ReinsurancePremiumsForInsuranceCompaniesByProductSegmentAxis","all:DiscontinuedLinesAndCoveragesProductLineMember",NA,NA,NA,NA
"us-gaap_LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsPriorYears","D2011_ReserveAdjustmentsMember_DiscontinuedLinesAndCoveragesProductLineMember","USD","21000000","-6","Tag12","http://fasb.org/us-gaap/2013-01-31","DisclosureReserveForPropertyLiabilityInsuranceClaimsAndClaimsExpenseDetails,DisclosureReserveForPropertyLiabilityInsuranceClaimsAndClaimsExpenseDetails2","http://www.sec.gov/CIK","0000899051","2011-01-01","2011-12-31","us-gaap:CausesOfIncreaseDecreaseInLiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseAxis","all:ReserveAdjustmentsMember","us-gaap:ReinsurancePremiumsForInsuranceCompaniesByProductSegmentAxis","all:DiscontinuedLinesAndCoveragesProductLineMember",NA,NA,NA,NA
"all_RetainedEarningsAccumulatedDeficitIncreaseDecrease","D2013Q2_M0630_MichiganCatastrophicClaimAssociationMember","USD","-51480000000","-7","Tag13","http://www.allstate.com/20131231","DisclosureReinsuranceDetails2","http://www.sec.gov/CIK","0000899051","2013-06-29","2013-06-30","us-gaap:CededCreditRiskAxis","all:MichiganCatastrophicClaimAssociationMember",NA,NA,NA,NA,NA,NA
